id/sequence,Year,Month,Day,file_name/smaple id,sample_type,species,plant_number,chemistry_number,associated_blank,associated_RTI,
1,2021,1,7,BLK_1,Blank,Blank,BLK_1,BLK_1,BLK_1,RTI_1,
2,2021,1,7,RTI_1,Standard,Standard,STD_1,STD_1,BLK_1,RTI_1,
3,2021,1,7,RTI_2,Standard,Standard,STD_1,STD_1,BLK_1,RTI_2,
4,2021,1,7,ENE_1035,Sample,Inga chartacea,1239,cG128,BLK_1,RTI_2,
5,2021,1,7,ENE_908,Sample,Ficus brosimoi,892,cG087,BLK_1,RTI_2,
6,2021,1,7,ENE_1069,Sample,"Psychotria ""nervosa""",1244,cG131,BLK_1,RTI_2,
7,2021,1,7,ENE_1079,Sample,"Inga ""stipular""",449,cG043,BLK_1,RTI_2,
8,2021,1,7,ENE_932,Sample,"Miconia ""cuneatocorie""",362,cG036,BLK_1,RTI_2,
9,2021,1,7,ENE_1177,Sample,"Piper ""haz-áspero""",2066,cG219,BLK_1,RTI_2,
10,2021,1,7,ENE_1060,Sample,"Miconia ""lija""",1779,cG190,BLK_1,RTI_2,
11,2021,1,7,ENE_1064,Sample,"Piper ""peludita""",1241,cG129,BLK_1,RTI_2,
12,2021,1,7,ENE_1021,Sample,"Piper ""obliq-buli""",1208,cG123,BLK_1,RTI_2,
13,2021,1,7,BLK_2,Blank,Blank,BLK_1,BLK_1,BLK_2,RTI_2,
14,2021,1,7,ENE_1196,Sample,Inga acreana,2383,cG247,BLK_2,RTI_2,
15,2021,1,7,ENE_1124,Sample,"Piper ""colonso""",1663,cG171,BLK_2,RTI_2,
16,2021,1,7,ENE_1165,Sample,"Piper ""corazón""",1836,cG196,BLK_2,RTI_2,
17,2021,1,7,ENE_1157,Sample,"Miconia ""2 arriba""",1750,cG182,BLK_2,RTI_2,
18,2021,1,7,ENE_1161,Sample,Inga thibaudiana,1769,cG186,BLK_2,RTI_2,
19,2021,1,7,ENE_1175,Sample,Inga suaveloens,2274,cG243,BLK_2,RTI_2,
20,2021,1,7,RTI_3,Standard,Standard,STD_1,STD_1,BLK_2,RTI_3,
21,2021,1,7,ENE_1020,Sample,Inga Ch,1617,cG156,BLK_2,RTI_3,
22,2021,1,7,ENE_1120,Sample,"Inga ""pseudo-capitata""",1910,cG201,BLK_2,RTI_3,
23,2021,1,7,ENE_1025,Sample,Miconia zff schunkei,1179,cG116,BLK_2,RTI_3,
24,2021,1,7,ENE_1180,Sample,Inga leiocalycina,2046,cG214,BLK_2,RTI_3,
25,2021,1,7,BLK_3,Blank,Blank,BLK_1,BLK_1,BLK_3,RTI_3,
26,2021,1,7,ENE_1192,Sample,"Miconia ""típica sana""",2374,cG246,BLK_3,RTI_3,
27,2021,1,7,ENE_1195,Sample,Inga laurina,2241,cG241,BLK_3,RTI_3,
28,2021,1,7,ENE_1222,Sample,"Inga aff. ""splendens""",1649,cG162,BLK_3,RTI_3,
29,2021,1,7,ENE_1061,Sample,Miconia schunkei,1408,cG144,BLK_3,RTI_3,
30,2021,1,7,ENE_1231,Sample,Inga hispida,2481,cG259,BLK_3,RTI_3,
31,2021,1,7,ENE_1210,Sample,"Piper ""corazón""",2139,cG231,BLK_3,RTI_3,
32,2021,1,7,ENE_1218,Sample,Inga alata,3044,cG289,BLK_3,RTI_3,
33,2021,1,7,ENE_1249,Sample,"Inga ""2 nervi""",2429,cG253,BLK_3,RTI_3,
34,2021,1,7,ENE_1019,Sample,Miconia lanceolada,2621,cG278,BLK_3,RTI_3,
35,2021,1,7,ENE_893,Sample,"Ficus ""sp.839""",839,cG082,BLK_3,RTI_3,
36,2021,1,7,ENE_938,Sample,Inga flaca-glabra,321,cG029,BLK_3,RTI_3,
37,2021,1,28,RTI_11,Standard,Standard,STD_1,STD_1,BLK_8,RTI_11,
38,2021,1,28,RTI_12,Standard,Standard,STD_1,STD_1,BLK_8,RTI_12,
39,2021,1,28,BLK_8,Blank,Blank,BLK_1,BLK_1,BLK_8,RTI_12,
40,2021,1,28,ENE_1216,Sample,Piper corazón,2712,cG280,BLK_8,RTI_12,
